prefecture,medical_zone_name,municipality_list,habitable_area_km2,target_facility_count,geo_coefficient,simple_required_fte,adjusted_required_fte,benchmark_used,note
長野県,上伊那,伊那市、駒ヶ根市、辰野町、箕輪町、飯島町、南箕輪村、中川村、宮田村,324.9,10,1.0207374657630404,3.0,3.0622123972891213,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,上小,上田市、東御市、青木村、長和町,249.15,10,0.9808699542245924,3.0,2.9426098626737773,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,佐久,小諸市、佐久市、小海町、川上村、南牧村、南相木村、北相木村、佐久穂町、軽井沢町、御代田町、立科町,453.37,10,1.0788796043772981,3.0,3.2366388131318944,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,北信,中野市、飯山市、山ノ内町、木島平村、野沢温泉村、栄村,236.17000000000002,10,0.9734558398727919,3.0,2.9203675196183756,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,大北,大町市、池田町、松川村、白馬村、小谷村,286.28000000000003,10,1.0010719822746577,3.0,3.003215946823973,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,木曽,上松町、南木曽町、木祖村、王滝村、大桑村、木曽町,178.88,10,0.9379883679878229,3.0,2.8139651039634686,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,松本,松本市、塩尻市、安曇野市、麻績村、生坂村、山形村、朝日村、筑北村,498.34000000000003,10,1.097226040816413,3.0,3.291678122449239,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,諏訪,岡谷市、諏訪市、茅野市、下諏訪町、富士見町、原村,199.98,10,0.9516333038392343,3.0,2.8548999115177027,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,長野,長野市、須坂市、千曲市、坂城町、小布施町、高山村、信濃町、小川村、飯綱町,539.6899999999999,10,1.1133776797168151,3.0,3.3401330391504453,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
長野県,飯伊,飯田市、松川町、高森町、阿南町、阿智村、平谷村、根羽村、下條村、売木村、天龍村、泰阜村、喬木村、豊丘村、大鹿村,282.21,10,0.9989241734775028,3.0,2.9967725204325086,28.424500000000002,"target_facility_count と simple_required_fte は仮の定数であり、実データに差し替えが必要。geo_coefficient の benchmark は長野県内二次医療圏の spacing 中央値（初期値）。lambda=0.3, min=0.85, max=1.30 は初期値で実績Call数等によるCalibration予定。"
